id	name	display	desc	q_measure_id	n_items	created_at	updated_at
56	CPI_Femininity			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
57	NEO_PI-R_Feelings			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
58	CPI_Vector1			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
59	CPI_Vector2			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
60	CPI_Vector3			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
61	CPI_Managerial_Potential			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
62	CPI_Work_Orientation			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
63	CPI_Creative_Temperament			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
64	CPI_Leadership			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
65	CPI_Amicability			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
66	CPI_Law_Enforcement_Orientation			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
67	CPI_Tough-mindedness			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
68	NEO_PI-R_Actions			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
69	HPI_Empathy			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
70	HPI_Not_anxious			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
71	HPI_No_guilt			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
72	HPI_Calmness			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
73	HPI_Even-tempered			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
74	HPI_No_somatic_complaints			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
75	HPI_Trusting			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
76	HPI_Good_attachment			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
77	HPI_Competitive			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
78	HPI_Self_confidence			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
79	NEO_PI-R_Ideas			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
80	HPI_No_depression			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
81	HPI_Leadership			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
82	HPI_Identity			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
83	HPI_No_social_anxiety			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
84	HPI_Likes_parties			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
85	HPI_Likes_crowds			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
86	HPI_Experience-seeking			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
87	HPI_Exhibitionistic			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
88	HPI_Entertaining			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
89	HPI_Easy_to_live_with			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
90	NEO_PI-R_Values			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
91	HPI_Sensitive			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
92	HPI_Caring			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
93	HPI_Likes_people			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
94	HPI_No_hostility			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
95	HPI_Moralistic			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
96	HPI_Mastery			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
97	HPI_Virtuous			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
98	HPI_not_autonomous			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
99	HPI_Not_spontaneous			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
100	HPI_Impulse_control			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
101	NEO_PI-R_Trust			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
102	HPI_Avoids_trouble			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
103	HPI_Science_ability			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
104	HPI_Curiosity			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
105	HPI_Thrill-seeking			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
106	HPI			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
107	HPI_Generates_ideas			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
108	HPI_Culture			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
109	HPI_Education			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
110	HPI			1	4	2011-07-19 18:03:33	2011-07-19 18:03:33
111	HPI_Good_memory			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
112	NEO_PI-R_Angry_Hostility			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
113	NEO_PI-R_Straightforwardness			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
114	HPI_Reading			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
115	HPI_Self_focus			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
116	HPI_Impression_management			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
117	HPI_Appearance			1	4	2011-07-19 18:03:33	2011-07-19 18:03:33
118	NEO_PI-R_Altruism			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
119	NEO_PI-R_Compliance			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
120	NEO_PI-R_Modesty			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
121	NEO_PI-R_Tender-Mindedness			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
122	NEO_PI-R_Competence			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
123	NEO_PI-R_Order			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
124	NEO_PI-R_Dutifulness			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
125	NEO_PI-R_Achievement_Striving			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
126	NEO_PI-R_Self-Discipline			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
127	NEO_PI-R_Depression			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
128	NEO_PI-R_Deliberation			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
129	HEXACO-PI_Sincerity			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
130	HEXACO-PI_Fairness			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
131	HEXACO-PI_Greed_Avoidance			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
132	HEXACO-PI_Modesty			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
133	HEXACO-PI_Fearfulness			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
134	HEXACO-PI_Anxiety			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
135	HEXACO-PI_Dependence			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
136	HEXACO-PI_Sentimentality			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
137	HEXACO-PI_Expressiveness			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
138	NEO_PI-R_Self-Consciousness			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
139	HEXACO-PI_Social_Boldness			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
140	HEXACO-PI_Sociability			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
141	HEXACO-PI_Liveliness			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
142	HEXACO-PI_Forgiveness			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
143	HEXACO-PI_Gentleness			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
144	HEXACO-PI_Flexibility			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
145	HEXACO-PI_Patience			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
146	HEXACO-PI_Organization			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
147	HEXACO-PI_Diligence			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
148	HEXACO-PI_Perfectionism			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
149	NEO_PI-R_Impulsiveness			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
150	HEXACO-PI_Prudence			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
151	HEXACO-PI_Aesthetic_Appreciation			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
152	HEXACO-PI_Inquisitiveness			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
153	HEXACO-PI_Creativity			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
154	HEXACO-PI_Unconventionality			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
155	JPI-R_Complexity			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
156	JPI-R_Breadth_of_Interest			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
157	JPI-R_Innovation			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
158	JPI-R_Tolerance			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
159	JPI-R_Empathy			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
160	NEO_PI-R_Vulnerability			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
161	JPI-R_Anxiety			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
162	JPI-R_Cooperativeness			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
163	JPI-R_Sociability			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
164	JPI-R_Social_Confidence			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
165	JPI-R_Energy_Level			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
166	JPI-R_Social_Astuteness			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
167	JPI-R_Risk_Taking			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
168	JPI-R_Organization			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
169	JPI-R_Traditional_Values			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
170	JPI-R_Responsibility			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
171	NEO_PI-R_Warmth			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
172	MPQ_Well-being			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
173	MPQ_Social_Potency			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
174	MPQ_Achievement			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
175	MPQ_Social_Closeness			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
176	MPQ_Stress_Reaction			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
177	MPQ_Aggression			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
178	MPQ_Alienation			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
179	MPQ_Control			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
180	MPQ_Harm-avoidance			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
181	MPQ_Traditionalism			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
182	NEO_PI-R_Gregariousness			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
183	MPQ_Absorption			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
184	6-FPQ_Affiliation			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
185	6-FPQ_Dominance			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
186	6-FPQ_Exhibition			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
187	6-FPQ_Abasement			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
188	6-FPQ_Even-tempered			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
189	6-FPQ_Good-natured			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
190	6-FPQ_Cognitive_Structure			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
191	6-FPQ_Deliberativeness			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
192	6-FPQ_Order			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
193	NEO_PI-R_Assertiveness			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
194	6-FPQ_Autonomy			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
195	6-FPQ_Individualism			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
196	6-FPQ_Self_Reliance			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
197	6-FPQ_Change			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
198	6-FPQ_Understanding			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
199	6-FPQ_Breadth_of_Interest			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
200	6-FPQ_Achievement			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
201	6-FPQ_Endurance			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
202	6-FPQ_Seriousness			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
203	TCI_Exploratory_Excitability			1	5	2011-07-19 18:03:33	2011-07-19 18:03:33
204	CLS			2	21	2011-07-19 18:03:34	2011-07-19 18:03:34
205	PerspectiveTaking			3	7	2011-07-19 18:03:34	2011-07-19 18:03:34
206	FantasyScale			3	7	2011-07-19 18:03:34	2011-07-19 18:03:34
207	EmpathicConcern			3	7	2011-07-19 18:03:34	2011-07-19 18:03:34
208	PersonalDistress			3	7	2011-07-19 18:03:34	2011-07-19 18:03:34
209	Christian			4	4	2011-07-19 18:03:34	2011-07-19 18:03:34
210	Jewish			4	4	2011-07-19 18:03:34	2011-07-19 18:03:34
211	Muslim			4	4	2011-07-19 18:03:34	2011-07-19 18:03:34
212	Buddhist			4	4	2011-07-19 18:03:34	2011-07-19 18:03:34
213	RespForHardship			4	3	2011-07-19 18:03:34	2011-07-19 18:03:34
214	Liberal			4	7	2011-07-19 18:03:34	2011-07-19 18:03:34
215	Conservative			4	7	2011-07-19 18:03:34	2011-07-19 18:03:34
216	SES			4	5	2011-07-19 18:03:34	2011-07-19 18:03:34
217	PosEmpathy			5	3	2011-07-19 18:03:34	2011-07-19 18:03:34
218	NegEmpathy			5	3	2011-07-19 18:03:34	2011-07-19 18:03:34
219	InternalSimilarity			5	3	2011-07-19 18:03:34	2011-07-19 18:03:34
220	ExternalSimilarity			5	3	2011-07-19 18:03:34	2011-07-19 18:03:34
221	Neediness			5	3	2011-07-19 18:03:34	2011-07-19 18:03:34
222	Responsibility			5	3	2011-07-19 18:03:34	2011-07-19 18:03:34
223	Likability			5	3	2011-07-19 18:03:34	2011-07-19 18:03:34
224	AltruisticBehavior			5	2	2011-07-19 18:03:34	2011-07-19 18:03:34
