id	code	data	state	session_id	created_at	updated_at
38				38	2011-07-19 18:50:30	2011-07-19 18:50:30
39				39	2011-07-19 18:50:32	2011-07-19 18:50:32
40				40	2011-07-19 18:53:38	2011-07-19 18:53:38
41				41	2011-07-19 18:58:03	2011-07-19 18:58:03
42				42	2011-07-19 19:00:59	2011-07-19 19:00:59
43				43	2011-07-19 19:03:14	2011-07-19 19:03:14
44				44	2011-07-19 19:04:26	2011-07-19 19:04:26
45				45	2011-07-19 19:04:47	2011-07-19 19:04:47
46				46	2011-07-19 19:05:06	2011-07-19 19:05:06
47				47	2011-07-19 19:08:37	2011-07-19 19:08:37
48				48	2011-07-19 19:08:56	2011-07-19 19:08:57
49				49	2011-07-19 19:08:58	2011-07-19 19:08:58
50				50	2011-07-19 19:11:15	2011-07-19 19:11:15
51				51	2011-07-19 19:28:29	2011-07-19 19:28:29
52				52	2011-07-19 19:30:46	2011-07-19 19:30:46
53				53	2011-07-19 19:36:05	2011-07-19 19:36:05
54				54	2011-07-19 19:40:26	2011-07-19 19:40:26
55				55	2011-07-19 19:40:29	2011-07-19 19:40:29
56				56	2011-07-19 19:43:50	2011-07-19 19:43:50
57				57	2011-07-19 19:58:53	2011-07-19 19:58:53
58				58	2011-07-19 21:41:32	2011-07-19 21:41:32
59				59	2011-07-20 02:06:26	2011-07-20 02:06:26
60				60	2011-07-20 02:40:06	2011-07-20 02:40:06
61				61	2011-07-20 02:52:23	2011-07-20 02:52:23
62				62	2011-07-20 02:53:29	2011-07-20 02:53:29
63				63	2011-07-20 02:53:55	2011-07-20 02:53:55
64				64	2011-07-20 02:54:10	2011-07-20 02:54:10
65				65	2011-07-20 02:54:15	2011-07-20 02:54:15
66				66	2011-07-20 02:56:34	2011-07-20 02:56:34
67				67	2011-07-20 03:04:13	2011-07-20 03:04:13
68				68	2011-07-20 03:05:41	2011-07-20 03:05:41
69				69	2011-07-20 03:10:43	2011-07-20 03:10:43
70				70	2011-07-20 03:14:54	2011-07-20 03:14:54
71				71	2011-07-20 03:18:44	2011-07-20 03:18:44
72				72	2011-07-20 03:24:21	2011-07-20 03:24:21
73				73	2011-07-20 03:25:46	2011-07-20 03:25:46
74				74	2011-07-20 03:26:00	2011-07-20 03:26:00
75				75	2011-07-20 03:29:53	2011-07-20 03:29:53
76				76	2011-07-20 03:31:32	2011-07-20 03:31:32
77				77	2011-07-20 03:34:07	2011-07-20 03:34:07
78				78	2011-07-20 03:35:25	2011-07-20 03:35:25
79				79	2011-07-20 03:36:01	2011-07-20 03:36:01
80				80	2011-07-20 03:38:43	2011-07-20 03:38:43
81				81	2011-07-20 03:38:56	2011-07-20 03:38:56
82				82	2011-07-20 03:39:03	2011-07-20 03:39:03
83				83	2011-07-20 03:39:24	2011-07-20 03:39:24
84				84	2011-07-20 03:45:15	2011-07-20 03:45:15
85				85	2011-07-20 03:47:37	2011-07-20 03:47:37
86				86	2011-07-20 03:48:56	2011-07-20 03:48:56
87				87	2011-07-20 03:50:13	2011-07-20 03:50:13
88				88	2011-07-20 03:52:41	2011-07-20 03:52:41
89				89	2011-07-20 03:53:34	2011-07-20 03:53:34
90				90	2011-07-20 03:54:26	2011-07-20 03:54:26
91				91	2011-07-20 03:56:51	2011-07-20 03:56:51
92				92	2011-07-20 03:57:18	2011-07-20 03:57:18
93				93	2011-07-20 03:57:24	2011-07-20 03:57:24
94				94	2011-07-20 03:57:28	2011-07-20 03:57:28
95				95	2011-07-20 03:57:40	2011-07-20 03:57:40
96				96	2011-07-20 03:57:54	2011-07-20 03:57:54
97				97	2011-07-20 03:58:03	2011-07-20 03:58:03
98				98	2011-07-20 03:58:17	2011-07-20 03:58:17
99				99	2011-07-20 03:58:21	2011-07-20 03:58:21
100				100	2011-07-20 03:59:29	2011-07-20 03:59:29
101				101	2011-07-20 04:14:49	2011-07-20 04:14:49
102				102	2011-07-20 04:16:13	2011-07-20 04:16:13
103				103	2011-07-20 04:16:41	2011-07-20 04:16:41
104				104	2011-07-20 04:18:49	2011-07-20 04:18:49
105				105	2011-07-20 04:22:08	2011-07-20 04:22:08
106				106	2011-07-20 04:35:59	2011-07-20 04:35:59
107				107	2011-07-20 04:38:54	2011-07-20 04:38:54
108				108	2011-07-20 04:39:19	2011-07-20 04:39:19
109				109	2011-07-20 04:41:35	2011-07-20 04:41:35
110				110	2011-07-20 04:46:07	2011-07-20 04:46:07
111				111	2011-07-20 04:49:18	2011-07-20 04:49:18
112				112	2011-07-20 04:54:19	2011-07-20 04:54:19
113				113	2011-07-20 05:01:51	2011-07-20 05:01:51
114				114	2011-07-20 05:06:21	2011-07-20 05:06:21
115				115	2011-07-20 05:10:36	2011-07-20 05:10:36
116				116	2011-07-20 05:11:42	2011-07-20 05:11:42
117				117	2011-07-20 05:16:16	2011-07-20 05:16:16
118				118	2011-07-20 05:21:13	2011-07-20 05:21:13
119				119	2011-07-20 05:26:13	2011-07-20 05:26:13
120				120	2011-07-20 05:32:49	2011-07-20 05:32:49
121				121	2011-07-20 05:39:29	2011-07-20 05:39:29
122				122	2011-07-20 05:53:42	2011-07-20 05:53:42
123				123	2011-07-20 06:00:13	2011-07-20 06:00:13
124				124	2011-07-20 06:19:26	2011-07-20 06:19:26
125				125	2011-07-20 06:21:10	2011-07-20 06:21:10
126				126	2011-07-20 06:34:01	2011-07-20 06:34:01
127				127	2011-07-20 06:46:24	2011-07-20 06:46:24
128				128	2011-07-20 06:55:58	2011-07-20 06:55:58
129				129	2011-07-20 07:11:36	2011-07-20 07:11:36
130				130	2011-07-20 07:12:16	2011-07-20 07:12:16
131				131	2011-07-20 07:17:18	2011-07-20 07:17:18
132				132	2011-07-20 07:18:18	2011-07-20 07:18:18
133				133	2011-07-20 07:20:13	2011-07-20 07:20:13
134				134	2011-07-20 07:30:09	2011-07-20 07:30:09
135				135	2011-07-20 07:34:49	2011-07-20 07:34:49
136				136	2011-07-20 07:57:17	2011-07-20 07:57:17
137				137	2011-07-20 08:01:44	2011-07-20 08:01:44
138				138	2011-07-20 08:30:02	2011-07-20 08:30:02
139				139	2011-07-20 08:41:56	2011-07-20 08:41:56
140				140	2011-07-20 08:48:56	2011-07-20 08:48:56
141				141	2011-07-20 09:45:34	2011-07-20 09:45:34
142				142	2011-07-20 10:08:26	2011-07-20 10:08:26
143				143	2011-07-20 11:36:12	2011-07-20 11:36:12
144				144	2011-07-20 11:55:39	2011-07-20 11:55:39
145				145	2011-07-20 12:08:49	2011-07-20 12:08:49
146				146	2011-07-20 12:21:16	2011-07-20 12:21:16
147				147	2011-07-20 12:36:17	2011-07-20 12:36:17
148				148	2011-07-20 12:57:23	2011-07-20 12:57:23
149				149	2011-07-20 13:22:58	2011-07-20 13:22:58
150				150	2011-07-20 14:14:25	2011-07-20 14:14:25
151				151	2011-07-20 15:51:34	2011-07-20 15:51:34
152				152	2011-07-20 15:55:21	2011-07-20 15:55:21
153				153	2011-07-20 15:56:23	2011-07-20 15:56:23
154				154	2011-07-20 15:56:29	2011-07-20 15:56:29
155				155	2011-07-20 15:58:13	2011-07-20 15:58:13
156				156	2011-07-20 16:03:04	2011-07-20 16:03:04
157				157	2011-07-20 16:03:51	2011-07-20 16:03:51
158				158	2011-07-20 16:07:50	2011-07-20 16:07:50
159				159	2011-07-20 16:10:03	2011-07-20 16:10:03
160				160	2011-07-20 16:10:08	2011-07-20 16:10:08
161				161	2011-07-20 16:11:36	2011-07-20 16:11:36
162				162	2011-07-20 16:11:41	2011-07-20 16:11:41
163				163	2011-07-20 16:13:18	2011-07-20 16:13:18
164				164	2011-07-20 16:14:05	2011-07-20 16:14:05
165				165	2011-07-20 16:14:21	2011-07-20 16:14:21
166				166	2011-07-20 16:15:38	2011-07-20 16:15:38
167				167	2011-07-20 16:16:56	2011-07-20 16:16:56
168				168	2011-07-20 16:27:07	2011-07-20 16:27:07
169				169	2011-07-20 16:30:53	2011-07-20 16:30:53
170				170	2011-07-20 16:31:09	2011-07-20 16:31:09
171				171	2011-07-20 16:33:26	2011-07-20 16:33:26
172				172	2011-07-20 16:52:37	2011-07-20 16:52:37
173				173	2011-07-20 16:54:58	2011-07-20 16:54:58
174				174	2011-07-20 16:55:02	2011-07-20 16:55:02
175				175	2011-07-20 17:03:39	2011-07-20 17:03:39
176				176	2011-07-20 17:05:13	2011-07-20 17:05:13
177				177	2011-07-20 17:08:03	2011-07-20 17:08:03
178				178	2011-07-20 17:14:24	2011-07-20 17:14:24
179				179	2011-07-20 17:15:22	2011-07-20 17:15:22
180				180	2011-07-20 17:15:27	2011-07-20 17:15:27
181				181	2011-07-20 17:18:53	2011-07-20 17:18:53
182				182	2011-07-20 17:20:48	2011-07-20 17:20:48
183				183	2011-07-20 17:21:44	2011-07-20 17:21:44
184				184	2011-07-20 17:22:37	2011-07-20 17:22:37
185				185	2011-07-20 17:25:23	2011-07-20 17:25:23
186				186	2011-07-20 17:31:25	2011-07-20 17:31:25
187				187	2011-07-20 17:32:12	2011-07-20 17:32:12
188				188	2011-07-20 17:32:36	2011-07-20 17:32:36
189				189	2011-07-20 17:32:39	2011-07-20 17:32:39
190				190	2011-07-20 17:32:49	2011-07-20 17:32:49
191				191	2011-07-20 17:36:16	2011-07-20 17:36:16
192				192	2011-07-20 17:36:32	2011-07-20 17:36:32
193				193	2011-07-20 17:37:09	2011-07-20 17:37:09
194				194	2011-07-20 17:47:12	2011-07-20 17:47:12
195				195	2011-07-20 17:49:06	2011-07-20 17:49:06
196				196	2011-07-20 17:50:40	2011-07-20 17:50:40
197				197	2011-07-20 17:55:34	2011-07-20 17:55:34
198				198	2011-07-20 18:04:59	2011-07-20 18:04:59
199				199	2011-07-20 18:05:40	2011-07-20 18:05:40
200				200	2011-07-20 18:07:18	2011-07-20 18:07:18
201				201	2011-07-20 18:08:03	2011-07-20 18:08:03
202				202	2011-07-20 18:10:12	2011-07-20 18:10:12
203				203	2011-07-20 18:12:48	2011-07-20 18:12:48
204				204	2011-07-20 18:21:12	2011-07-20 18:21:12
205				205	2011-07-20 18:22:17	2011-07-20 18:22:17
206				206	2011-07-20 18:26:42	2011-07-20 18:26:42
207				207	2011-07-20 18:26:49	2011-07-20 18:26:49
208				208	2011-07-20 18:27:08	2011-07-20 18:27:08
209				209	2011-07-20 18:27:14	2011-07-20 18:27:14
210				210	2011-07-20 18:31:13	2011-07-20 18:31:13
211				211	2011-07-20 18:32:56	2011-07-20 18:32:56
212				212	2011-07-20 18:44:36	2011-07-20 18:44:36
213				213	2011-07-20 18:46:09	2011-07-20 18:46:09
214				214	2011-07-20 18:46:10	2011-07-20 18:46:10
215				215	2011-07-20 18:48:40	2011-07-20 18:48:40
216				216	2011-07-20 18:57:00	2011-07-20 18:57:00
217				217	2011-07-20 18:59:51	2011-07-20 18:59:51
218				218	2011-07-20 19:03:44	2011-07-20 19:03:44
219				219	2011-07-20 19:06:00	2011-07-20 19:06:00
220				220	2011-07-20 19:09:09	2011-07-20 19:09:09
221				221	2011-07-20 19:18:59	2011-07-20 19:18:59
222				222	2011-07-20 19:19:20	2011-07-20 19:19:20
223				223	2011-07-20 19:24:07	2011-07-20 19:24:07
224				224	2011-07-20 19:25:49	2011-07-20 19:25:49
225				225	2011-07-20 19:27:06	2011-07-20 19:27:06
226				226	2011-07-20 19:39:18	2011-07-20 19:39:18
227				227	2011-07-20 19:45:46	2011-07-20 19:45:46
228				228	2011-07-20 19:49:59	2011-07-20 19:49:59
229				229	2011-07-20 19:55:35	2011-07-20 19:55:35
230				230	2011-07-20 19:58:32	2011-07-20 19:58:32
231				231	2011-07-20 20:04:59	2011-07-20 20:04:59
232				232	2011-07-20 20:07:48	2011-07-20 20:07:48
233				233	2011-07-20 20:08:20	2011-07-20 20:08:20
234				234	2011-07-20 20:13:28	2011-07-20 20:13:28
235				235	2011-07-20 20:17:01	2011-07-20 20:17:01
236				236	2011-07-20 20:20:47	2011-07-20 20:20:47
237				237	2011-07-20 20:21:32	2011-07-20 20:21:32
238				238	2011-07-20 20:24:35	2011-07-20 20:24:35
239				239	2011-07-20 20:31:02	2011-07-20 20:31:02
240				240	2011-07-20 20:34:55	2011-07-20 20:34:55
241				241	2011-07-20 20:39:47	2011-07-20 20:39:47
242				242	2011-07-20 20:49:12	2011-07-20 20:49:12
243				243	2011-07-20 20:53:55	2011-07-20 20:53:55
244				244	2011-07-20 20:59:41	2011-07-20 20:59:41
245				245	2011-07-20 21:19:11	2011-07-20 21:19:11
246				246	2011-07-20 21:31:40	2011-07-20 21:31:40
247				247	2011-07-20 21:45:16	2011-07-20 21:45:16
248				248	2011-07-20 22:26:32	2011-07-20 22:26:32
249				249	2011-07-20 23:11:01	2011-07-20 23:11:01
250				250	2011-07-20 23:34:53	2011-07-20 23:34:53
251				251	2011-07-20 23:40:07	2011-07-20 23:40:07
252				252	2011-07-21 00:46:55	2011-07-21 00:46:55
253				253	2011-07-21 00:56:51	2011-07-21 00:56:51
254				254	2011-07-21 01:00:20	2011-07-21 01:00:20
255				255	2011-07-21 01:12:14	2011-07-21 01:12:14
256				256	2011-07-21 01:23:42	2011-07-21 01:23:42
257				257	2011-07-21 01:52:36	2011-07-21 01:52:36
258				258	2011-07-21 02:08:14	2011-07-21 02:08:14
259				259	2011-07-21 02:08:43	2011-07-21 02:08:43
260				260	2011-07-21 02:09:23	2011-07-21 02:09:23
261				261	2011-07-21 02:10:13	2011-07-21 02:10:13
262				262	2011-07-21 02:10:15	2011-07-21 02:10:15
263				263	2011-07-21 02:11:50	2011-07-21 02:11:50
264				264	2011-07-21 02:11:51	2011-07-21 02:11:51
265				265	2011-07-21 02:16:09	2011-07-21 02:16:09
266				266	2011-07-21 02:18:02	2011-07-21 02:18:02
267				267	2011-07-21 02:18:24	2011-07-21 02:18:24
268				268	2011-07-21 02:19:48	2011-07-21 02:19:48
269				269	2011-07-21 02:20:57	2011-07-21 02:20:57
270				270	2011-07-21 02:22:11	2011-07-21 02:22:11
271				271	2011-07-21 02:25:12	2011-07-21 02:25:12
272				272	2011-07-21 02:27:35	2011-07-21 02:27:35
273				273	2011-07-21 02:30:00	2011-07-21 02:30:00
274				274	2011-07-21 02:32:34	2011-07-21 02:32:34
275				275	2011-07-21 02:37:24	2011-07-21 02:37:24
276				276	2011-07-21 02:39:29	2011-07-21 02:39:29
277				277	2011-07-21 02:40:35	2011-07-21 02:40:35
278				278	2011-07-21 02:41:29	2011-07-21 02:41:29
279				279	2011-07-21 02:46:30	2011-07-21 02:46:30
280				280	2011-07-21 02:50:19	2011-07-21 02:50:19
281				281	2011-07-21 02:50:37	2011-07-21 02:50:37
282				282	2011-07-21 02:50:51	2011-07-21 02:50:51
283				283	2011-07-21 02:51:06	2011-07-21 02:51:06
284				284	2011-07-21 02:51:18	2011-07-21 02:51:18
285				285	2011-07-21 02:51:29	2011-07-21 02:51:29
286				286	2011-07-21 02:51:53	2011-07-21 02:51:53
287				287	2011-07-21 02:52:25	2011-07-21 02:52:25
288				288	2011-07-21 02:55:50	2011-07-21 02:55:50
289				289	2011-07-21 03:00:53	2011-07-21 03:00:53
290				290	2011-07-21 03:06:50	2011-07-21 03:06:50
291				291	2011-07-21 03:12:14	2011-07-21 03:12:14
292				292	2011-07-21 03:12:15	2011-07-21 03:12:15
293				293	2011-07-21 03:13:57	2011-07-21 03:13:57
294				294	2011-07-21 03:16:10	2011-07-21 03:16:10
295				295	2011-07-21 03:17:06	2011-07-21 03:17:06
296				296	2011-07-21 03:17:27	2011-07-21 03:17:27
297				297	2011-07-21 03:20:26	2011-07-21 03:20:26
298				298	2011-07-21 03:20:33	2011-07-21 03:20:33
299				299	2011-07-21 03:20:38	2011-07-21 03:20:38
300				300	2011-07-21 03:20:40	2011-07-21 03:20:40
301				301	2011-07-21 03:20:43	2011-07-21 03:20:43
302				302	2011-07-21 03:20:46	2011-07-21 03:20:46
303				303	2011-07-21 03:20:49	2011-07-21 03:20:49
304				304	2011-07-21 03:20:52	2011-07-21 03:20:52
305				305	2011-07-21 03:20:54	2011-07-21 03:20:54
306				306	2011-07-21 03:20:57	2011-07-21 03:20:57
307				307	2011-07-21 03:21:06	2011-07-21 03:21:06
308				308	2011-07-21 03:21:23	2011-07-21 03:21:23
309				309	2011-07-21 03:21:59	2011-07-21 03:21:59
310				310	2011-07-21 03:22:03	2011-07-21 03:22:03
311				311	2011-07-21 03:22:43	2011-07-21 03:22:43
312				312	2011-07-21 03:28:05	2011-07-21 03:28:05
313				313	2011-07-21 03:33:02	2011-07-21 03:33:02
314				314	2011-07-21 03:36:30	2011-07-21 03:36:30
315				315	2011-07-21 03:38:00	2011-07-21 03:38:00
316				316	2011-07-21 03:40:41	2011-07-21 03:40:41
317				317	2011-07-21 03:45:38	2011-07-21 03:45:38
318				318	2011-07-21 03:51:48	2011-07-21 03:51:48
319				319	2011-07-21 03:52:39	2011-07-21 03:52:39
320				320	2011-07-21 03:52:46	2011-07-21 03:52:46
321				321	2011-07-21 03:52:58	2011-07-21 03:52:58
322				322	2011-07-21 03:53:00	2011-07-21 03:53:00
323				323	2011-07-21 03:56:35	2011-07-21 03:56:35
324				324	2011-07-21 03:56:45	2011-07-21 03:56:45
325				325	2011-07-21 04:02:06	2011-07-21 04:02:06
326				326	2011-07-21 04:16:10	2011-07-21 04:16:10
327				327	2011-07-21 04:36:42	2011-07-21 04:36:42
328				328	2011-07-21 04:40:38	2011-07-21 04:40:38
329				329	2011-07-21 04:43:42	2011-07-21 04:43:42
330				330	2011-07-21 04:51:01	2011-07-21 04:51:01
331				331	2011-07-21 04:51:32	2011-07-21 04:51:32
332				332	2011-07-21 04:54:01	2011-07-21 04:54:01
333				333	2011-07-21 05:08:26	2011-07-21 05:08:26
334				334	2011-07-21 05:11:08	2011-07-21 05:11:08
335				335	2011-07-21 05:13:05	2011-07-21 05:13:05
336				336	2011-07-21 05:26:16	2011-07-21 05:26:16
337				337	2011-07-21 05:39:28	2011-07-21 05:39:28
338				338	2011-07-21 05:44:32	2011-07-21 05:44:32
339				339	2011-07-21 05:47:26	2011-07-21 05:47:26
340				340	2011-07-21 05:47:39	2011-07-21 05:47:39
341				341	2011-07-21 05:47:47	2011-07-21 05:47:47
342				342	2011-07-21 05:47:56	2011-07-21 05:47:56
343				343	2011-07-21 05:48:08	2011-07-21 05:48:08
344				344	2011-07-21 05:54:19	2011-07-21 05:54:19
345				345	2011-07-21 06:09:39	2011-07-21 06:09:40
346				346	2011-07-21 06:10:46	2011-07-21 06:10:46
347				347	2011-07-21 06:11:00	2011-07-21 06:11:00
348				348	2011-07-21 06:11:24	2011-07-21 06:11:24
349				349	2011-07-21 06:11:40	2011-07-21 06:11:40
350				350	2011-07-21 06:16:40	2011-07-21 06:16:40
351				351	2011-07-21 06:18:33	2011-07-21 06:18:33
352				352	2011-07-21 06:18:45	2011-07-21 06:18:45
353				353	2011-07-21 06:18:49	2011-07-21 06:18:49
354				354	2011-07-21 06:18:58	2011-07-21 06:18:58
355				355	2011-07-21 06:19:28	2011-07-21 06:19:28
356				356	2011-07-21 06:21:55	2011-07-21 06:21:55
357				357	2011-07-21 06:59:49	2011-07-21 06:59:49
358				358	2011-07-21 07:01:43	2011-07-21 07:01:43
359				359	2011-07-21 07:03:39	2011-07-21 07:03:39
360				360	2011-07-21 07:04:22	2011-07-21 07:04:22
361				361	2011-07-21 07:04:37	2011-07-21 07:04:37
362				362	2011-07-21 07:29:27	2011-07-21 07:29:27
363				363	2011-07-21 07:33:18	2011-07-21 07:33:18
364				364	2011-07-21 07:38:56	2011-07-21 07:38:56
365				365	2011-07-21 07:57:12	2011-07-21 07:57:12
366				366	2011-07-21 09:21:34	2011-07-21 09:21:34
367				367	2011-07-21 09:32:04	2011-07-21 09:32:04
368				368	2011-07-21 10:12:09	2011-07-21 10:12:09
369				369	2011-07-21 11:08:24	2011-07-21 11:08:24
370				370	2011-07-21 11:28:31	2011-07-21 11:28:31
371				371	2011-07-21 11:28:59	2011-07-21 11:28:59
372				372	2011-07-21 11:33:06	2011-07-21 11:33:06
373				373	2011-07-21 11:41:28	2011-07-21 11:41:28
374				374	2011-07-21 11:42:22	2011-07-21 11:42:22
375				375	2011-07-21 11:44:21	2011-07-21 11:44:21
376				376	2011-07-21 11:44:51	2011-07-21 11:44:51
377				377	2011-07-21 11:53:35	2011-07-21 11:53:35
378				378	2011-07-21 11:59:04	2011-07-21 11:59:04
379				379	2011-07-21 12:05:07	2011-07-21 12:05:07
380				380	2011-07-21 12:06:11	2011-07-21 12:06:11
381				381	2011-07-21 12:06:20	2011-07-21 12:06:20
382				382	2011-07-21 12:06:27	2011-07-21 12:06:27
383				383	2011-07-21 12:06:35	2011-07-21 12:06:35
384				384	2011-07-21 12:06:45	2011-07-21 12:06:45
385				385	2011-07-21 12:07:15	2011-07-21 12:07:15
386				386	2011-07-21 12:07:40	2011-07-21 12:07:40
387				387	2011-07-21 12:07:43	2011-07-21 12:07:43
388				388	2011-07-21 12:07:47	2011-07-21 12:07:47
389				389	2011-07-21 12:07:52	2011-07-21 12:07:52
390				390	2011-07-21 12:09:13	2011-07-21 12:09:13
391				391	2011-07-21 12:09:16	2011-07-21 12:09:16
392				392	2011-07-21 12:10:07	2011-07-21 12:10:07
393				393	2011-07-21 12:32:51	2011-07-21 12:32:51
394				394	2011-07-21 12:44:09	2011-07-21 12:44:09
395				395	2011-07-21 12:51:40	2011-07-21 12:51:40
396				396	2011-07-21 12:58:43	2011-07-21 12:58:43
397				397	2011-07-21 13:02:19	2011-07-21 13:02:19
398				398	2011-07-21 13:02:43	2011-07-21 13:02:43
399				399	2011-07-21 13:03:12	2011-07-21 13:03:12
400				400	2011-07-21 13:05:36	2011-07-21 13:05:36
401				401	2011-07-21 13:06:34	2011-07-21 13:06:34
402				402	2011-07-21 13:12:54	2011-07-21 13:12:54
403				403	2011-07-21 13:14:59	2011-07-21 13:14:59
404				404	2011-07-21 13:30:39	2011-07-21 13:30:39
405				405	2011-07-21 13:35:30	2011-07-21 13:35:30
406				406	2011-07-21 13:40:28	2011-07-21 13:40:28
407				407	2011-07-21 14:03:18	2011-07-21 14:03:18
408				408	2011-07-21 15:12:39	2011-07-21 15:12:39
409				409	2011-07-21 16:26:04	2011-07-21 16:26:04
410				410	2011-07-21 17:31:09	2011-07-21 17:31:09
411				411	2011-07-21 17:32:30	2011-07-21 17:32:30
412				412	2011-07-21 17:32:39	2011-07-21 17:32:39
413				413	2011-07-21 17:39:10	2011-07-21 17:39:10
414				414	2011-07-21 17:41:18	2011-07-21 17:41:18
415				415	2011-07-21 17:43:29	2011-07-21 17:43:29
416				416	2011-07-21 17:46:53	2011-07-21 17:46:53
417				417	2011-07-21 17:48:16	2011-07-21 17:48:16
418				418	2011-07-21 17:48:26	2011-07-21 17:48:26
419				419	2011-07-21 17:49:07	2011-07-21 17:49:07
420				420	2011-07-21 17:49:19	2011-07-21 17:49:19
421				421	2011-07-21 17:49:25	2011-07-21 17:49:25
422				422	2011-07-21 17:49:27	2011-07-21 17:49:27
423				423	2011-07-21 17:49:35	2011-07-21 17:49:35
424				424	2011-07-21 17:49:35	2011-07-21 17:49:35
425				425	2011-07-21 17:49:53	2011-07-21 17:49:53
426				426	2011-07-21 17:49:54	2011-07-21 17:49:54
427				427	2011-07-21 17:51:17	2011-07-21 17:51:17
428				428	2011-07-21 17:54:50	2011-07-21 17:54:50
429				429	2011-07-21 17:55:29	2011-07-21 17:55:29
430				430	2011-07-21 17:55:54	2011-07-21 17:55:54
431				431	2011-07-21 18:07:54	2011-07-21 18:07:54
432				432	2011-07-21 18:08:27	2011-07-21 18:08:27
433				433	2011-07-21 18:08:59	2011-07-21 18:08:59
434				434	2011-07-21 18:10:50	2011-07-21 18:10:50
435				435	2011-07-21 18:13:21	2011-07-21 18:13:21
436				436	2011-07-21 18:18:10	2011-07-21 18:18:10
437				437	2011-07-21 18:25:00	2011-07-21 18:25:00
438				438	2011-07-21 18:25:14	2011-07-21 18:25:14
439				439	2011-07-21 18:25:31	2011-07-21 18:25:31
440				440	2011-07-21 18:32:11	2011-07-21 18:32:11
441				441	2011-07-21 18:36:57	2011-07-21 18:36:57
442				442	2011-07-21 18:38:02	2011-07-21 18:38:02
443				443	2011-07-21 18:40:05	2011-07-21 18:40:05
444				444	2011-07-21 18:43:31	2011-07-21 18:43:31
445				445	2011-07-21 18:43:55	2011-07-21 18:43:55
446				446	2011-07-21 18:46:00	2011-07-21 18:46:00
447				447	2011-07-21 18:48:42	2011-07-21 18:48:42
448				448	2011-07-21 18:50:09	2011-07-21 18:50:09
449				449	2011-07-21 18:59:47	2011-07-21 18:59:47
450				450	2011-07-21 19:00:41	2011-07-21 19:00:41
451				451	2011-07-21 19:01:45	2011-07-21 19:01:45
452				452	2011-07-21 19:02:19	2011-07-21 19:02:19
453				453	2011-07-21 19:03:12	2011-07-21 19:03:12
454				454	2011-07-21 19:04:08	2011-07-21 19:04:08
455				455	2011-07-21 19:07:52	2011-07-21 19:07:52
456				456	2011-07-21 19:14:07	2011-07-21 19:14:07
457				457	2011-07-21 19:14:17	2011-07-21 19:14:17
458				458	2011-07-21 19:14:50	2011-07-21 19:14:50
459				459	2011-07-21 19:18:59	2011-07-21 19:18:59
460				460	2011-07-21 19:19:06	2011-07-21 19:19:06
461				461	2011-07-21 19:24:37	2011-07-21 19:24:37
462				462	2011-07-21 19:50:15	2011-07-21 19:50:15
463				463	2011-07-21 19:50:48	2011-07-21 19:50:48
464				464	2011-07-21 19:50:52	2011-07-21 19:50:52
465				465	2011-07-21 19:53:41	2011-07-21 19:53:41
